name,fragment,score,label
dud1.mp3,0,-2.3586602210998535,1
dud1.mp3,1,-2.133559226989746,1
dud1.mp3,2,-3.6342811584472656,0
dud1.mp3,3,-3.5272812843322754,0
dud1.mp3,4,-3.5239996910095215,0
dud1.mp3,5,3.6898081302642822,1
dud1.mp3,6,-3.4614107608795166,0
dud1.mp3,7,-3.1456403732299805,1
duda2.mp3,0,-1.629851222038269,1
duda2.mp3,1,-2.157411575317383,1
duda2.mp3,2,-3.620527982711792,0
duda2.mp3,3,-3.5067341327667236,0
duda2.mp3,4,-3.528003454208374,0
duda2.mp3,5,1.3504537343978882,1
duda2.mp3,6,-3.1261911392211914,1
duda2.mp3,7,-3.5058462619781494,0
duda3.mp3,0,-3.305861473083496,0
duda3.mp3,1,-3.5366833209991455,0
duda3.mp3,2,3.744459629058838,1
duda3_1.mp3,0,-3.587963581085205,0
duda3_1.mp3,1,-3.510195732116699,0
duda3_1.mp3,2,-3.5544731616973877,0
duda3_1.mp3,3,-3.5731918811798096,0
duda3_1.mp3,4,-3.5811119079589844,0
duda3_1.mp3,5,-3.3621413707733154,0
duda4.mp3,0,-3.5105676651000977,0
duda4.mp3,1,-3.480726957321167,0
duda4.mp3,2,-3.589218854904175,0
duda4.mp3,3,-3.423405647277832,0
duda4.mp3,4,-3.5832326412200928,0
duda4.mp3,5,-3.6691524982452393,0
duda4.mp3,6,-3.5874416828155518,0
duda4.mp3,7,-3.5396807193756104,0
duda4.mp3,8,-3.5917036533355713,0
duda4.mp3,9,-3.181610345840454,1
duda5.mp3,0,-3.3820292949676514,0
duda5.mp3,1,-3.5255939960479736,0
duda5.mp3,2,-3.53298020362854,0
duda5.mp3,3,-3.532161235809326,0
duda5.mp3,4,-3.554699659347534,0
duda5.mp3,5,-3.545332670211792,0
duda5.mp3,6,-3.524786949157715,0
hol1.mp3,0,-3.4461801052093506,0
hol1.mp3,1,-3.37333083152771,0
hol1.mp3,2,-3.457667112350464,0
hol1.mp3,3,-3.429083824157715,0
hol1.mp3,4,-3.408923625946045,0
hol1.mp3,5,-3.4179069995880127,0
hol1.mp3,6,-3.5349326133728027,0
hol1.mp3,7,-3.5140631198883057,0
hol1.mp3,8,-3.607274293899536,0
hol1.mp3,9,-3.5144870281219482,0
hol1.mp3,10,-3.4788527488708496,0
hol1.mp3,11,-3.545053720474243,0
hol1.mp3,12,-3.600938558578491,0
hol1.mp3,13,-3.5878262519836426,0
hol1.mp3,14,-3.5256197452545166,0
hol1.mp3,15,-3.5389907360076904,0
hol1.mp3,16,-3.451038360595703,0
hol1.mp3,17,-3.5249359607696533,0
hol1.mp3,18,-3.5246634483337402,0
hol1.mp3,19,-3.555067539215088,0
hol1.mp3,20,-3.315607786178589,0
hol1.mp3,21,-3.4317092895507812,0
hol1.mp3,22,-3.4217236042022705,0
hol1.mp3,23,-3.4065210819244385,0
hol1.mp3,24,-3.468132734298706,0
hol1.mp3,25,-3.4322378635406494,0
hol1.mp3,26,-3.425443172454834,0
hol1.mp3,27,-3.1438982486724854,1
kacz1.mp3,0,-3.1175448894500732,1
kacz1.mp3,1,-3.4005560874938965,0
kacz1.mp3,2,-2.6940865516662598,1
kacz1.mp3,3,-3.253305435180664,1
kacz1.mp3,4,-3.102546453475952,1
kacz1.mp3,5,-3.463804006576538,0
kacz1.mp3,6,-3.18208646774292,1
kacz1.mp3,7,-1.0095906257629395,1
kacz1.mp3,8,-2.2979323863983154,1
kacz1.mp3,9,-2.8973543643951416,1
kacz1.mp3,10,-3.2766706943511963,0
kacz1.mp3,11,3.5902559757232666,1
kacz2.mp3,0,-0.4751366674900055,1
kacz2.mp3,1,-3.390922784805298,0
kacz2.mp3,2,-3.0608713626861572,1
kacz2.mp3,3,-3.3594110012054443,0
kacz2.mp3,4,-3.328484296798706,0
kacz2.mp3,5,-3.2025792598724365,1
kacz2.mp3,6,-3.2663302421569824,1
korw1.mp3,0,-3.4529314041137695,0
korw1.mp3,1,-3.5547266006469727,0
korw1.mp3,2,-3.526543378829956,0
korw1.mp3,3,-3.446211338043213,0
korw1.mp3,4,-3.4547057151794434,0
korw1.mp3,5,-3.3365085124969482,0
korw1.mp3,6,-3.5599863529205322,0
korw1.mp3,7,-3.5250823497772217,0
korw1.mp3,8,-3.501347780227661,0
miesz1.mp3,0,-3.5482335090637207,0
miesz1.mp3,1,-3.5052523612976074,0
miesz1.mp3,2,-3.551137685775757,0
miesz1.mp3,3,-3.5378060340881348,0
miesz1.mp3,4,-3.3913843631744385,0
miesz1.mp3,5,-3.5662992000579834,0
miesz1.mp3,6,-3.4208199977874756,0
miesz1.mp3,7,-3.4861557483673096,0
miesz1.mp3,8,-3.4545533657073975,0
miesz1.mp3,9,-3.518503189086914,0
miesz1.mp3,10,-3.485651969909668,0
miesz1.mp3,11,-3.289977788925171,0
miesz1.mp3,12,-3.5701334476470947,0
miesz1.mp3,13,-3.3086605072021484,0
miesz1.mp3,14,-3.52036714553833,0
miesz1.mp3,15,-3.4901044368743896,0
miesz1.mp3,16,-3.4623165130615234,0
miesz1.mp3,17,-3.475637674331665,0
miesz1.mp3,18,-3.600482225418091,0
miesz1.mp3,19,-3.5440690517425537,0
miesz1.mp3,20,-3.4031031131744385,0
miesz1.mp3,21,-3.448591709136963,0
miesz1.mp3,22,-3.441437244415283,0
miesz1.mp3,23,-3.5603013038635254,0
miesz1.mp3,24,-3.2463812828063965,1
miesz1.mp3,25,-3.108361005783081,1
miesz1.mp3,26,-3.6096644401550293,0
miesz1.mp3,27,-3.5141212940216064,0
miesz1.mp3,28,-3.4861867427825928,0
miesz1.mp3,29,-3.489351511001587,0
miesz1.mp3,30,-3.454777717590332,0
miesz1.mp3,31,-3.3906145095825195,0
miesz1.mp3,32,-3.5473878383636475,0
miesz1.mp3,33,-3.4199001789093018,0
miesz1.mp3,34,-3.378333806991577,0
miesz1.mp3,35,-3.5235300064086914,0
miesz1.mp3,36,-3.3886144161224365,0
miesz1.mp3,37,-3.0103061199188232,1
miesz1.mp3,38,-3.21915864944458,1
miesz1.mp3,39,-3.4457976818084717,0
miesz1.mp3,40,-3.511840581893921,0
miesz1.mp3,41,-3.092533588409424,1
miesz1.mp3,42,-3.1192376613616943,1
miesz1.mp3,43,-3.5555179119110107,0
miesz1.mp3,44,-3.5674495697021484,0
miesz1.mp3,45,-3.4178762435913086,0
miesz1.mp3,46,-3.414388418197632,0
miesz1.mp3,47,-3.514981269836426,0
miesz1.mp3,48,-3.5014216899871826,0
miesz1.mp3,49,-3.4979259967803955,0
miesz1.mp3,50,-3.346517324447632,0
miesz1.mp3,51,-3.522538900375366,0
miesz1.mp3,52,-3.5220701694488525,0
miesz1.mp3,53,-3.4778778553009033,0
miesz1.mp3,54,-3.4952731132507324,0
