name,fragment,score,label
vid1.mp3,0,-3.3872485160827637,0
vid1.mp3,1,-3.4991865158081055,0
vid1.mp3,2,-3.1389095783233643,1
vid1.mp3,3,-3.45896053314209,0
vid1.mp3,4,-3.3613574504852295,0
vid1.mp3,5,-2.7656633853912354,1
vid1.mp3,6,-3.425910472869873,0
vid1.mp3,7,-3.196504831314087,1
vid10.mp3,0,-3.3608028888702393,0
vid10.mp3,1,-3.4383857250213623,0
vid11.mp3,0,-3.23697829246521,1
vid11.mp3,1,-3.6102616786956787,0
vid11.mp3,2,-3.6050291061401367,0
vid11.mp3,3,-3.6400632858276367,0
vid11.mp3,4,-3.5776209831237793,0
vid11.mp3,5,-3.5565812587738037,0
vid11.mp3,6,-3.6038429737091064,0
vid11.mp3,7,-3.581249475479126,0
vid11.mp3,8,-3.6126625537872314,0
vid11.mp3,9,-3.5878498554229736,0
vid12.mp3,0,-3.6216647624969482,0
vid12.mp3,1,-3.498548746109009,0
vid12.mp3,2,-3.4563615322113037,0
vid12.mp3,3,3.3259665966033936,1
vid13.mp3,0,-3.3612823486328125,0
vid13.mp3,1,-3.476079225540161,0
vid13.mp3,2,-3.493037223815918,0
vid13.mp3,3,-2.9502780437469482,1
vid13.mp3,4,-3.5060019493103027,0
vid13.mp3,5,-3.5106759071350098,0
vid13.mp3,6,-3.5826268196105957,0
vid14.mp3,0,0.5205457806587219,1
vid14.mp3,1,0.3583555221557617,1
vid14.mp3,2,-3.58480167388916,0
vid15.mp3,0,-3.235562562942505,1
vid15.mp3,1,-3.274909734725952,0
vid15.mp3,2,-3.1259257793426514,1
vid15.mp3,3,-2.6219165325164795,1
vid15.mp3,4,-3.315009355545044,0
vid15.mp3,5,-3.340465784072876,0
vid15.mp3,6,-2.9397361278533936,1
vid15.mp3,7,-3.0198147296905518,1
vid15.mp3,8,-2.556907892227173,1
vid15.mp3,9,-3.4090144634246826,0
vid16.mp3,0,-2.0118210315704346,1
vid16.mp3,1,-3.3138210773468018,0
vid16.mp3,2,-3.2697677612304688,1
vid16.mp3,3,-3.549004316329956,0
vid16.mp3,4,-3.4020848274230957,0
vid16.mp3,5,-3.4776523113250732,0
vid16.mp3,6,-3.464533567428589,0
vid17.mp3,0,-3.143798828125,1
vid17.mp3,1,-3.461467981338501,0
vid17.mp3,2,-3.4164273738861084,0
vid17.mp3,3,-3.4203128814697266,0
vid17.mp3,4,-3.118124008178711,1
vid17.mp3,5,-3.294757604598999,0
vid17.mp3,6,-3.473982334136963,0
vid17.mp3,7,-3.1506686210632324,1
vid17.mp3,8,-3.4426589012145996,0
vid17.mp3,9,-3.27903151512146,0
vid18.mp3,0,-3.6418187618255615,0
vid18.mp3,1,-3.6624348163604736,0
vid18.mp3,2,-3.6230695247650146,0
vid18.mp3,3,-3.6686594486236572,0
vid18.mp3,4,-3.6469385623931885,0
vid18.mp3,5,-3.6328728199005127,0
vid18.mp3,6,-3.6384739875793457,0
vid18.mp3,7,-3.5592660903930664,0
vid18.mp3,8,-3.6737606525421143,0
vid18.mp3,9,-3.6927807331085205,0
vid19.mp3,0,-3.688795328140259,0
vid19.mp3,1,-3.6551098823547363,0
vid19.mp3,2,-3.6131560802459717,0
vid19.mp3,3,-3.5979251861572266,0
vid19.mp3,4,-3.5604729652404785,0
vid19.mp3,5,-3.589139699935913,0
vid19.mp3,6,-3.6336934566497803,0
vid19.mp3,7,-3.5738308429718018,0
vid19.mp3,8,-3.694349765777588,0
vid19.mp3,9,-3.597522020339966,0
vid2.mp3,0,-3.1862711906433105,1
vid2.mp3,1,-3.4226903915405273,0
vid2.mp3,2,-3.4829466342926025,0
vid2.mp3,3,-3.561678171157837,0
vid2.mp3,4,-2.743260383605957,1
vid2.mp3,5,-3.4360992908477783,0
vid2.mp3,6,-2.952773332595825,1
vid2.mp3,7,-3.4954354763031006,0
vid2.mp3,8,-3.539584159851074,0
vid2.mp3,9,-3.5790412425994873,0
vid20.mp3,0,-3.4702985286712646,0
vid20.mp3,1,-3.5931100845336914,0
vid20.mp3,2,-3.6667330265045166,0
vid23.mp3,0,-3.4800920486450195,0
vid23.mp3,1,-3.536180019378662,0
vid23.mp3,2,-3.5986154079437256,0
vid23.mp3,3,-3.3898041248321533,0
vid23.mp3,4,-3.5325562953948975,0
vid23.mp3,5,-3.532989025115967,0
vid24.mp3,0,-1.9851783514022827,1
vid24.mp3,1,-3.3222014904022217,0
vid24.mp3,2,-3.423064947128296,0
vid24.mp3,3,-3.5500283241271973,0
vid24.mp3,4,-3.4378342628479004,0
vid24.mp3,5,-3.2571706771850586,1
vid24.mp3,6,-3.2687811851501465,1
vid24.mp3,7,-3.5455739498138428,0
vid24.mp3,8,-3.401334524154663,0
vid24.mp3,9,-2.5568368434906006,1
vid25.mp3,0,3.6507930755615234,1
vid25.mp3,1,-3.4464917182922363,0
vid25.mp3,2,-3.486234188079834,0
vid25.mp3,3,-3.3040430545806885,0
vid25.mp3,4,-2.714423894882202,1
vid25.mp3,5,-3.041546583175659,1
vid25.mp3,6,-3.478299379348755,0
vid25.mp3,7,2.7104485034942627,1
vid25.mp3,8,-2.7659075260162354,1
vid25.mp3,9,-2.9348976612091064,1
vid26.mp3,0,-2.0402629375457764,1
vid26.mp3,1,-2.9061782360076904,1
vid26.mp3,2,-2.6901371479034424,1
vid26.mp3,3,-3.5321147441864014,0
vid27.mp3,0,-3.1865172386169434,1
vid27.mp3,1,4.452337265014648,1
vid27.mp3,2,-3.117964506149292,1
vid27.mp3,3,0.7336243987083435,1
vid27.mp3,4,-1.807965636253357,1
vid27.mp3,5,-3.4955086708068848,0
vid27.mp3,6,-3.216796875,1
vid27.mp3,7,-3.5022945404052734,0
