name,fragment,score,label
vid1.mp3,0,4.086381912231445,1
vid1.mp3,1,4.133504390716553,1
vid1.mp3,2,3.6378166675567627,1
vid1.mp3,3,0.9655895829200745,1
vid1.mp3,4,2.4889190196990967,1
vid1.mp3,5,0.6206858158111572,1
vid1.mp3,6,-0.2799142301082611,1
vid1.mp3,7,3.794921636581421,1
vid1.mp3,8,3.1579487323760986,1
vid1.mp3,9,-1.2514714002609253,1
vid10.mp3,0,-2.959547281265259,1
vid10.mp3,1,-3.5039517879486084,0
vid10.mp3,2,-3.5026745796203613,0
vid10.mp3,3,-3.378873586654663,0
vid10.mp3,4,-2.4617245197296143,1
vid10.mp3,5,-3.325735330581665,0
vid10.mp3,6,-3.4283480644226074,0
vid10.mp3,7,-2.9241416454315186,1
vid10.mp3,8,-3.497014284133911,0
vid10.mp3,9,-2.33744215965271,1
vid11.mp3,0,0.40591078996658325,1
vid11.mp3,1,-2.4338672161102295,1
vid11.mp3,2,-3.463094472885132,0
vid11.mp3,3,-3.249763250350952,1
vid11.mp3,4,-3.4834840297698975,0
vid11.mp3,5,-3.1684763431549072,1
vid11.mp3,6,-2.7035086154937744,1
vid11.mp3,7,-2.6310665607452393,1
vid11.mp3,8,-3.525423288345337,0
vid11.mp3,9,-1.8482879400253296,1
vid12.mp3,0,2.400010347366333,1
vid12.mp3,1,-3.234666585922241,1
vid12.mp3,2,-3.3988730907440186,0
vid12.mp3,3,-3.011730432510376,1
vid12.mp3,4,-3.1010026931762695,1
vid12.mp3,5,-3.0246646404266357,1
vid12.mp3,6,-3.583124876022339,0
vid12.mp3,7,-2.721308946609497,1
vid12.mp3,8,-2.957744836807251,1
vid12.mp3,9,-3.28387451171875,0
vid13.mp3,0,2.9245686531066895,1
vid13.mp3,1,-2.6969387531280518,1
vid13.mp3,2,0.6912819743156433,1
vid13.mp3,3,3.228991985321045,1
vid13.mp3,4,-3.494687080383301,0
vid13.mp3,5,-3.141310691833496,1
vid13.mp3,6,0.2636508047580719,1
vid13.mp3,7,-3.2446165084838867,1
vid13.mp3,8,-2.174356460571289,1
vid13.mp3,9,-3.5811283588409424,0
vid14.mp3,0,-1.8168264627456665,1
vid14.mp3,1,-3.528512954711914,0
vid14.mp3,2,-3.5644936561584473,0
vid14.mp3,3,-3.592482805252075,0
vid14.mp3,4,-2.3172426223754883,1
vid14.mp3,5,-3.452134847640991,0
vid14.mp3,6,-2.9596691131591797,1
vid14.mp3,7,-2.2329187393188477,1
vid14.mp3,8,-2.5753302574157715,1
vid14.mp3,9,-3.487410545349121,0
vid15.mp3,0,0.7684763669967651,1
vid15.mp3,1,3.7073781490325928,1
vid15.mp3,2,0.17546914517879486,1
vid15.mp3,3,-2.780726194381714,1
vid15.mp3,4,-3.505627393722534,0
vid15.mp3,5,4.017241477966309,1
vid15.mp3,6,-0.41029101610183716,1
vid15.mp3,7,-3.32928204536438,0
vid15.mp3,8,-2.672398328781128,1
vid15.mp3,9,-0.026825081557035446,1
vid2.mp3,0,-3.492006301879883,0
vid2.mp3,1,-3.3951804637908936,0
vid2.mp3,2,-3.5758872032165527,0
vid2.mp3,3,-2.7711338996887207,1
vid2.mp3,4,-3.312297821044922,0
vid2.mp3,5,-3.536530017852783,0
vid2.mp3,6,-2.7196521759033203,1
vid2.mp3,7,-3.5210952758789062,0
vid2.mp3,8,-3.527275800704956,0
vid2.mp3,9,-2.8264660835266113,1
vid3.mp3,0,-3.4343931674957275,0
vid3.mp3,1,-3.4529776573181152,0
vid3.mp3,2,-3.4029319286346436,0
vid3.mp3,3,-3.2929582595825195,0
vid3.mp3,4,-3.53338885307312,0
vid3.mp3,5,-3.4368178844451904,0
vid3.mp3,6,-3.065402030944824,1
vid3.mp3,7,-2.9745841026306152,1
vid3.mp3,8,-2.6803929805755615,1
vid3.mp3,9,-3.2974982261657715,0
vid5.mp3,0,3.056785821914673,1
vid5.mp3,1,-2.1890323162078857,1
vid5.mp3,2,-1.484451174736023,1
vid5.mp3,3,3.7349424362182617,1
vid5.mp3,4,4.581048488616943,1
vid5.mp3,5,-2.222038984298706,1
vid5.mp3,6,-3.009902000427246,1
vid5.mp3,7,4.543895244598389,1
vid5.mp3,8,4.257046699523926,1
vid5.mp3,9,2.643906354904175,1
vid6.mp3,0,-2.943270683288574,1
vid6.mp3,1,-3.1277477741241455,1
vid6.mp3,2,-3.365929365158081,0
vid6.mp3,3,-3.3980495929718018,0
vid6.mp3,4,-3.4998528957366943,0
vid6.mp3,5,-3.3314664363861084,0
vid6.mp3,6,-3.3851664066314697,0
vid6.mp3,7,-3.5037131309509277,0
vid6.mp3,8,-3.4148073196411133,0
vid6.mp3,9,-3.2858402729034424,0
vid7.mp3,0,3.1725895404815674,1
vid7.mp3,1,-2.012648344039917,1
vid7.mp3,2,3.4594810009002686,1
vid7.mp3,3,4.03594970703125,1
vid7.mp3,4,4.101560115814209,1
vid7.mp3,5,3.954282760620117,1
vid7.mp3,6,2.0768167972564697,1
vid7.mp3,7,-3.4381117820739746,0
vid7.mp3,8,-3.103642463684082,1
vid7.mp3,9,-2.949201822280884,1
vid9.mp3,0,0.18079398572444916,1
vid9.mp3,1,-3.250727653503418,1
vid9.mp3,2,0.06212790682911873,1
vid9.mp3,3,-2.972299575805664,1
vid9.mp3,4,-1.8430545330047607,1
vid9.mp3,5,-3.3887627124786377,0
vid9.mp3,6,-3.4578983783721924,0
vid9.mp3,7,-1.9644075632095337,1
vid9.mp3,8,1.908746600151062,1
vid9.mp3,9,-3.539966344833374,0
